,Zip Code,GO Highest Offense Desc,UCR Description
410,78701.0,AGG ROBBERY/DEADLY WEAPON     ,Robbery
411,78745.0,BURGLARY OF VEHICLE           ,Theft
412,78701.0,THEFT                         ,Theft
413,78704.0,AGG ASSAULT FAM/DATE VIOLENCE ,Agg Assault
414,78758.0,BURGLARY OF RESIDENCE         ,Burglary
415,78744.0,BURGLARY OF RESIDENCE         ,Burglary
416,78745.0,THEFT FROM PERSON             ,Theft
417,78757.0,THEFT                         ,Theft
418,78753.0,AGG ASSAULT FAM/DATE VIOLENCE ,Agg Assault
419,78745.0,AGG ROBBERY/DEADLY WEAPON     ,Robbery
420,78745.0,THEFT FROM PERSON             ,Theft
421,78744.0,AGG ASSAULT                   ,Agg Assault
422,78752.0,AGG ASSAULT                   ,Agg Assault
423,78741.0,BURGLARY OF RESIDENCE         ,Burglary
424,78702.0,BURGLARY OF RESIDENCE         ,Burglary
425,78758.0,AUTO THEFT                    ,Auto Theft
426,78722.0,BURGLARY OF RESIDENCE         ,Burglary
427,78723.0,BURGLARY OF RESIDENCE         ,Burglary
428,78704.0,THEFT BY SHOPLIFTING          ,Theft
429,78759.0,THEFT BY SHOPLIFTING          ,Theft
430,78753.0,AGG ROBBERY/DEADLY WEAPON     ,Robbery
431,78704.0,AGG ROBBERY/DEADLY WEAPON     ,Robbery
432,78752.0,AGG ROBBERY/DEADLY WEAPON     ,Robbery
433,78757.0,THEFT                         ,Theft
434,78751.0,THEFT                         ,Theft
435,78726.0,BURGLARY OF VEHICLE           ,Theft
436,78753.0,THEFT FROM AUTO               ,Theft
437,78757.0,THEFT FROM AUTO               ,Theft
438,78752.0,BURGLARY OF VEHICLE           ,Theft
439,78753.0,THEFT FROM AUTO               ,Theft
440,78723.0,THEFT FROM AUTO               ,Theft
441,78701.0,THEFT                         ,Theft
442,78745.0,BURGLARY OF VEHICLE           ,Theft
443,78753.0,BURGLARY OF VEHICLE           ,Theft
444,78759.0,BURGLARY OF VEHICLE           ,Theft
445,78745.0,BURGLARY OF VEHICLE           ,Theft
446,78731.0,BURGLARY OF VEHICLE           ,Theft
447,78748.0,THEFT                         ,Theft
448,78749.0,BURGLARY OF VEHICLE           ,Theft
449,78726.0,BURGLARY OF VEHICLE           ,Theft
450,78759.0,THEFT                         ,Theft
451,78758.0,THEFT                         ,Theft
452,78726.0,BURGLARY OF VEHICLE           ,Theft
453,78701.0,THEFT                         ,Theft
454,78758.0,THEFT                         ,Theft
455,78741.0,BURGLARY OF VEHICLE           ,Theft
456,78748.0,BURGLARY OF VEHICLE           ,Theft
457,78758.0,THEFT                         ,Theft
458,78759.0,BURGLARY OF VEHICLE           ,Theft
459,78723.0,THEFT                         ,Theft
460,78744.0,THEFT                         ,Theft
461,78744.0,BURGLARY OF VEHICLE           ,Theft
463,78758.0,THEFT FROM BUILDING           ,Theft
464,78748.0,THEFT                         ,Theft
465,78758.0,THEFT BY SHOPLIFTING          ,Theft
466,78753.0,THEFT OF AUTO PARTS           ,Theft
467,78617.0,THEFT                         ,Theft
468,78613.0,THEFT                         ,Theft
469,78723.0,THEFT                         ,Theft
470,78617.0,THEFT                         ,Theft
471,78746.0,THEFT BY SHOPLIFTING          ,Theft
472,78759.0,THEFT OF LICENSE PLATE        ,Theft
473,78741.0,THEFT                         ,Theft
474,78745.0,THEFT OF LICENSE PLATE        ,Theft
475,78745.0,THEFT OF LICENSE PLATE        ,Theft
476,78759.0,THEFT BY SHOPLIFTING          ,Theft
477,78723.0,THEFT                         ,Theft
478,78753.0,THEFT FROM AUTO               ,Theft
479,78744.0,THEFT                         ,Theft
480,78704.0,THEFT                         ,Theft
481,78731.0,BURGLARY OF VEHICLE           ,Theft
482,78757.0,THEFT                         ,Theft
483,78758.0,THEFT                         ,Theft
484,78751.0,THEFT                         ,Theft
485,78753.0,THEFT                         ,Theft
486,78729.0,BURGLARY OF VEHICLE           ,Theft
487,78759.0,THEFT                         ,Theft
488,78744.0,BURGLARY OF VEHICLE           ,Theft
489,78701.0,THEFT                         ,Theft
490,78723.0,BURGLARY OF VEHICLE           ,Theft
491,78723.0,THEFT                         ,Theft
492,78749.0,THEFT                         ,Theft
493,78757.0,BURGLARY OF VEHICLE           ,Theft
494,78759.0,BURGLARY OF RESIDENCE         ,Burglary
495,78704.0,THEFT BY SHOPLIFTING          ,Theft
496,78729.0,AGG ASLT STRANGLE/SUFFOCATE   ,Agg Assault
497,78617.0,RAPE OF A CHILD               ,Rape
498,78721.0,AUTO THEFT                    ,Auto Theft
499,78701.0,THEFT                         ,Theft
500,78702.0,AGG ASSAULT                   ,Agg Assault
501,78757.0,AUTO THEFT                    ,Auto Theft
502,78757.0,THEFT                         ,Theft
503,78753.0,AGG ASSAULT WITH MOTOR VEH    ,Agg Assault
504,78735.0,BURGLARY NON RESIDENCE        ,Burglary
505,,THEFT BY SHOPLIFTING          ,Theft
506,78723.0,AUTO THEFT                    ,Auto Theft
507,78653.0,AUTO THEFT                    ,Auto Theft
508,78704.0,AUTO THEFT                    ,Auto Theft
509,78726.0,AUTO THEFT                    ,Auto Theft
510,78754.0,BURGLARY NON RESIDENCE        ,Burglary
511,78758.0,BURGLARY OF RESIDENCE         ,Burglary
512,78745.0,BURGLARY OF RESIDENCE         ,Burglary
513,78704.0,AUTO THEFT                    ,Auto Theft
514,78723.0,BURGLARY NON RESIDENCE        ,Burglary
515,78745.0,BURGLARY OF RESIDENCE         ,Burglary
516,78744.0,BURGLARY OF RESIDENCE         ,Burglary
517,78744.0,THEFT BY SHOPLIFTING          ,Theft
518,78758.0,AUTO THEFT                    ,Auto Theft
519,78753.0,AGG ASSAULT                   ,Agg Assault
520,78753.0,AGG ASLT STRANGLE/SUFFOCATE   ,Agg Assault
521,78753.0,THEFT                         ,Theft
522,78701.0,THEFT                         ,Theft
523,78704.0,THEFT                         ,Theft
524,78748.0,THEFT                         ,Theft
525,78752.0,RAPE                          ,Rape
526,78753.0,THEFT BY SHOPLIFTING          ,Theft
527,78724.0,THEFT                         ,Theft
528,78758.0,AGG ASSAULT ON PUBLIC SERVANT ,Agg Assault
529,78613.0,THEFT BY SHOPLIFTING          ,Theft
530,78757.0,AUTO THEFT                    ,Auto Theft
531,78745.0,BURGLARY OF VEHICLE           ,Theft
532,78758.0,AUTO THEFT                    ,Auto Theft
533,78759.0,THEFT                         ,Theft
